harga,lokasi,luas_bangunan,luas_tanah,kamar,kamar_mandi,listrik,interior,parkir,sertifikat
1000000000,Bantul,300,190,5,3,1300,Tak Berperabot,2,SHM - Sertifikat Hak Milik
499000000,Sleman,45,100,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
3300000000,Sleman,106,213,5,3,2200,Sebagian,2,SHM - Sertifikat Hak Milik
1200000000,Sleman,250,149,5,3,1300,Sebagian,1,SHM - Sertifikat Hak Milik
1500000000,Sleman,198,198,5,2,2200,Tak Berperabot,1,SHM - Sertifikat Hak Milik
3250000000,Sleman,170,322,4,2,1300,Tak Berperabot,2,SHM - Sertifikat Hak Milik
10000000000,Sleman,1000,1257,9,5,4400,Tak Berperabot,8,SHM - Sertifikat Hak Milik
650000000,Yogyakarta,45,79,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
2900000000,Sleman,250,406,3,2,5500,Tak Berperabot,2,SHM - Sertifikat Hak Milik
4500000000,Yogyakarta,170,200,4,4,3500,Lengkap,3,SHM - Sertifikat Hak Milik
2500000000,Sleman,100,198,4,4,2200,Lengkap,3,SHM - Sertifikat Hak Milik
695000000,Sleman,65,97,3,2,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
4300000000,Yogyakarta,161,782,5,2,1300,Sebagian,2,SHM - Sertifikat Hak Milik
575000000,Sleman,101,101,3,2,2200,Sebagian,1,SHM - Sertifikat Hak Milik
650000000,Yogyakarta,100,120,3,2,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
2500000000,Yogyakarta,130,80,3,2,3500,Sebagian,1,SHM - Sertifikat Hak Milik
1550000000,Sleman,200,184,6,3,2200,Tak Berperabot,1,SHM - Sertifikat Hak Milik
525000000,Sleman,60,165,2,1,900,Tak Berperabot,2,SHM - Sertifikat Hak Milik
3000000000,Yogyakarta,480,360,10,6,2200,Sebagian,2,SHM - Sertifikat Hak Milik
1100000000,Sleman,80,160,3,2,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1150000000,Sleman,80,167,3,3,3500,Tak Berperabot,2,SHM - Sertifikat Hak Milik
5100000000,Yogyakarta,900,677,10,10,4400,Tak Berperabot,3,SHM - Sertifikat Hak Milik
